0	2004-03-05	일본	22	뉴욕	18	반도체	14	주식시장	10	대만	9	정치	8	유로	6	지속	5	프랑스	4	한국은행	3
1	2004-03-24	일본	27	대만	19	반도체	16	주식시장	14	경쟁	9	우려	7	중국	6	회복	5	차별	4	테러	3
2	2004-04-29	중국	34	뉴욕	20	우려	15	주식시장	10	일본	8	주식	7	저항	6	캐나다	5	증가	4	현대차	3
3	2004-06-09	일본	38	뉴욕	24	중국	18	공격	14	우려	12	증가	11	반도체	10	아시아	8	인플레이션	7	정치	6
4	2005-02-22	일본	34	중국	17	우려	13	유로	10	외국인	9	지속	8	한국은행	7	삼성	6	아시아	5	프랑스	4
5	2005-07-22	중국	138	일본	39	뉴욕	25	위안화	23	우려	17	폐지	12	한국은행	11	달러화	8	정부	7	지속	6
6	2006-01-13	일본	26	뉴욕	17	중국	15	우려	14	한국은행	11	이란	10	무역적자	8	지속	6	인도	5	통화정책	4
7	2006-05-18	중국	151	일본	123	우려	115	인플레이션	103	뉴욕	91	금융위기	83	공격	77	독일	75	금융시장	70	우크라이나	60
8	2007-08-16	금융시장	28	우려	27	일본	17	뉴욕	14	중국	11	호주	10	주택	8	유럽	6	파산	5	한국은행	4
9	2008-03-14	우려	39	뉴욕	34	금융시장	23	일본	22	중국	20	인플레이션	16	악화	15	손실	11	증가	9	텍사스	8
10	2008-03-17	뉴욕	40	일본	39	금융시장	37	중국	25	보도	18	재할인율	17	위험	16	파산	13	신문	11	악화	10
11	2008-03-18	금융시장	50	중국	46	뉴욕	41	우려	38	일본	25	보도	20	공격	16	백악관	14	신용	13	악화	12
12	2008-03-25	중국	33	뉴욕	29	일본	21	우려	19	주택	15	한국은행	11	보도	10	인도	9	증가	8	악화	7
13	2008-03-26	중국	38	일본	31	뉴욕	28	우려	24	악화	20	금융시장	17	주택	15	보도	14	증시	13	인도	12
14	2008-04-01	일본	38	뉴욕	32	중국	31	개혁	22	우려	15	보도	13	스위스	12	감소	11	증시	10	악화	9
15	2008-05-07	중국	35	뉴욕	24	인플레이션	15	일본	13	증가	11	증시	10	인도	9	택시	8	텍사스	7	최악	6
16	2008-05-20	중국	42	뉴욕	24	우려	21	일본	19	보도	14	지진	13	대비	12	독일	11	인도	10	인플레이션	9
17	2008-06-03	중국	32	우려	28	일본	20	뉴욕	19	인플레이션	16	독일	12	상업	11	증가	10	업계	9	증시	8
18	2008-06-17	중국	47	인플레이션	29	우려	25	일본	20	러시아	14	증가	13	정책	12	금융시장	11	한국은행	10	증시	9
19	2008-07-09	중국	30	이란	21	일본	19	뉴욕	14	인플레이션	12	증가	10	증시	9	한국은행	8	전쟁	7	지속	6
20	2008-07-23	뉴욕	32	일본	25	중국	19	인플레이션	13	증시	11	인도	9	신문	8	파산	7	허리케인	6	택시	5
21	2008-08-19	뉴욕	35	일본	34	중국	32	우려	23	인플레이션	14	상업	11	지속	10	인도	9	유럽	8	움직임	7
22	2008-08-21	중국	37	뉴욕	28	일본	26	인플레이션	15	증시	12	증가	11	러시아	10	인도	9	싱가포르	8	최악	7
23	2008-09-01	중국	36	우려	35	허리케인	28	올림픽	13	증시	11	한국은행	8	인플레이션	7	협상	6	홍콩	5	확장	4
24	2008-09-04	중국	40	일본	30	뉴욕	29	허리케인	16	인플레이션	15	중앙은행	14	유럽	13	상업	11	증시	10	성장	9
25	2008-09-08	금융시장	33	일본	28	중국	27	금융위기	18	택시	16	재무부	15	민주당	13	증시	11	정부	9	증가	8
26	2008-09-09	중국	31	뉴욕	30	일본	27	우려	26	금융시장	21	허리케인	12	증시	10	스위스	8	주택	7	파산	6
27	2008-09-11	뉴욕	41	우려	27	일본	26	중국	25	금융시장	17	허리케인	13	상업	12	협상	11	성장	9	추석	8
28	2008-09-12	뉴욕	36	중국	22	일본	20	금융시장	16	보도	14	증시	13	붕괴	10	상업	9	시카고	8	정부	7
29	2008-09-15	뉴욕	59	파산	51	금융시장	42	금융위기	31	중국	28	파산보호	26	스위스	23	일본	22	허리케인	20	우려	19
30	2008-09-16	뉴욕	81	금융시장	74	파산	64	금융위기	60	파산보호	39	일본	38	중국	34	메릴린치	25	독일	18	보도	17
31	2008-09-17	뉴욕	77	금융위기	50	금융시장	49	파산보호	40	우려	38	일본	30	중국	27	보도	21	악화	14	감소	13
32	2008-09-18	금융위기	87	뉴욕	72	일본	57	금융시장	52	우려	41	중국	28	파산	19	파산보호	18	이즈	17	악화	16
33	2008-09-19	금융위기	76	뉴욕	59	금융시장	51	일본	44	중국	38	우려	28	파산	17	보도	16	협상	15	신문	13
34	2008-09-23	금융위기	68	뉴욕	61	중국	39	우려	33	금융시장	23	민주당	17	계획	16	상업	15	의회	14	파산	11
35	2008-09-29	금융위기	60	일본	39	금융시장	27	중국	23	뉴욕	21	벨기에	17	의회	16	협상	14	지속	13	수출	12
36	2008-09-30	금융위기	110	뉴욕	60	금융시장	52	일본	40	독일	30	하원	28	우려	21	벨기에	19	의회	16	폭락	14
37	2008-10-01	금융위기	81	뉴욕	48	일본	40	상원	34	금융시장	31	중국	20	의회	19	최악	18	악화	17	우려	16
38	2008-10-02	금융위기	57	상원	49	일본	26	우려	22	금융시장	18	독일	17	뉴욕	16	최악	12	중국	11	유럽	10
39	2008-10-06	금융위기	63	일본	40	독일	29	금융시장	20	중국	19	뉴욕	17	우려	16	유럽	14	지속	10	파리	8
40	2008-10-07	금융위기	96	독일	44	뉴욕	37	일본	35	금융시장	26	유럽	24	중국	21	우려	20	공포	15	호주	14
41	2008-10-08	금융위기	90	일본	57	뉴욕	45	금융시장	40	중국	33	우려	31	보도	26	유럽	25	악화	23	성장	17
42	2008-10-09	금융위기	92	뉴욕	50	금융시장	47	중국	40	일본	38	금리인하	35	독일	27	한국은행	26	유럽	22	스위스	20
43	2008-10-10	금융위기	105	뉴욕	53	일본	51	우려	38	폭락	34	중국	31	백악관	26	독일	23	악화	20	러시아	19
44	2008-10-13	금융위기	60	일본	40	중국	28	독일	27	계획	21	보도	19	스위스	18	뉴욕	14	악화	12	이즈	11
45	2008-10-14	금융위기	69	일본	36	중국	26	뉴욕	21	독일	18	보도	17	유럽	15	계획	13	우려	12	증시	11
46	2008-10-15	금융위기	51	일본	28	뉴욕	27	악화	25	금융시장	22	중국	20	증시	12	독일	11	최악	10	우크라이나	9
